judge,selector,coverage,risk
POOLED,judge_margin,0.2,1.0558404322658677
POOLED,judge_margin,0.25,1.0504568719910115
POOLED,judge_margin,0.3,1.0565322096284981
POOLED,judge_margin,0.35,1.0395821953200441
POOLED,judge_margin,0.39999999999999997,1.0236643614450593
POOLED,judge_margin,0.44999999999999996,1.0196888327733218
POOLED,judge_margin,0.49999999999999994,1.022965721001957
POOLED,judge_margin,0.5499999999999999,1.0175054634413245
POOLED,judge_margin,0.6,1.0183278695541644
POOLED,judge_margin,0.65,1.0236207269619213
POOLED,judge_margin,0.7,1.027349983644399
POOLED,judge_margin,0.75,1.0331792354509415
POOLED,judge_margin,0.7999999999999999,1.0412550730563905
POOLED,judge_margin,0.85,1.0460741141769296
POOLED,judge_margin,0.9,1.047278067557407
POOLED,judge_margin,0.95,1.0497822554991183
POOLED,judge_margin,1.0,1.052947767420793
POOLED,judge_entropy,0.05,1.1573707989705964
POOLED,judge_entropy,0.1,1.1821356693730936
POOLED,judge_entropy,0.15,1.0823453840974426
POOLED,judge_entropy,0.2,1.07540842238471
POOLED,judge_entropy,0.25,1.0925815978958395
POOLED,judge_entropy,0.3,1.0821374519739633
POOLED,judge_entropy,0.35,1.0612199126118729
POOLED,judge_entropy,0.39999999999999997,1.0409620559749586
POOLED,judge_entropy,0.44999999999999996,1.0324293272270662
POOLED,judge_entropy,0.49999999999999994,1.029982629156933
POOLED,judge_entropy,0.5499999999999999,1.025962348413731
POOLED,judge_entropy,0.6,1.0249197831759782
POOLED,judge_entropy,0.65,1.0293241389700123
POOLED,judge_entropy,0.7,1.031191951919797
POOLED,judge_entropy,0.75,1.0365324227618844
POOLED,judge_entropy,0.7999999999999999,1.0438458672073878
POOLED,judge_entropy,0.85,1.0472524699105699
POOLED,judge_entropy,0.9,1.0483101970606359
POOLED,judge_entropy,0.95,1.0496232730320758
POOLED,judge_entropy,1.0,1.052947767420793
POOLED,oracle,0.05,0.0
POOLED,random,0.05,1.0557259206471812
POOLED,oracle,0.1,0.0
POOLED,random,0.1,1.0547679633279854
POOLED,oracle,0.15,0.0
POOLED,random,0.15,1.0532840153824916
POOLED,oracle,0.2,0.0
POOLED,random,0.2,1.0533739725570377
